accession_s,accession_l,accession_np,accession_gp
KF478766,NC_004297,MH157046,MK118037
KF478769,MK107845,MH053523,AJ969407
MK107923,MK107844,MK118037,MK118017
MK107940,MK117869,AY628207,MK117974
MK107939,MK117832,KM822128,MK117978
MK107912,MK107864,AY628208,MK118032
MK117992,KF478760,MG812675,MH028398
MK107919,MF990886,AF181853,MH028396
KF478768,MF990887,U80004,MH028397
MG812653,KU961972,MH028399,JN651370
MK107898,KF478761,MH028401,HM143866
MK117952,MK107863,MH028400,MK107927
MK107911,KM821985,KT992425,JX845171
KF478765,MK117909,MK118005,KT992438
MK107897,MK117903,MK118017,KT992437
MK107916,MK117931,MK118013,KT992439
KF478767,MK117911,JX845169,KT992436
MK107920,MK117901,MK118015,KT992425
MK107899,KM821978,MK117974,MK118013
KM822124,MK107847,MK117960,MK117953
MK107918,MK107848,MK117961,MH157030
KM822055,MK107850,MH887860,MK107981
MG812663,MK107849,MH887837,KM821977
KM821798,MK107851,MK117853,MK107969
KM822029,MK107893,MK107925,KM821976
KM822031,KM822073,MK117995,KM821974
KM822027,KM822036,MH053552,MK107958
MK107941,MK107852,MH053560,MK107959
KT992416,MK107853,LC387474,MH053567
KT992420,MK117910,MH053501,LC388587
KT992418,KM821911,LC387478,LC388588
KT992421,KM821923,LC387486,LC388589
KM821773,KM821919,MK117993,LC388579
MG812648,KM822011,MK117975,MK117950
KM821775,KM822017,MK117994,MK117961
KM821816,MH887994,MK117980,MH887860
KM821822,KM821997,MK118019,MH887837
KM822130,MK291253,MK117996,MK117853
KM821835,KM822068,MH887799,MK117960
KM821847,MK117881,MK107961,MK107926
KM821857,MK107894,LC387480,MG812641
MG812636,MK107862,KM821979,KU978811
MG812667,MK117897,MH887820,MK107962
KM821826,MH887991,MK107926,MK107928
JN650517,MK117912,MK118020,MK107967
KM821787,MH888008,MH053572,MK107966
KM821785,MH887913,GU481068,MK107922
KM821789,MK117894,LC387470,MF317945
KM821863,MH887972,MK107924,MF317946
KM821777,MH887952,LC387476,JN651400
KM821810,MK117921,LC387482,GU481066
MG812639,MK117917,MK118018,LC388576
KM821828,MH887953,MH887828,MH053560
MH215285,MH887918,LC387484,MK107957
MH215283,MH887997,LC387488,MK107925
MH215289,MH887917,MK107902,MK107976
KM821900,MH053563,MK107903,MK118020
MG812643,MH887978,MK107904,MF317932
MN275173,MH053508,MK107905,MF317936
KM821783,KM822070,MK107906,MF317938
MG812645,MH887905,MK107970,KJ944259
MH215287,MH053535,LC387472,MH053552
MH215279,MK117885,MH053527,MK117992
MG812632,MH888006,MH887834,MH887880
MG812673,KM822005,LC387468,LC388592
KM821902,MK117891,MH157039,GU481056
MG812631,MK117835,MK117953,GU481058
KM821818,MH157049,MK118004,MK107924
KM821796,MH887968,MK117957,LC387470
KM821800,MH887975,MH887814,LC388575
KM821882,MH887976,MK118023,MH053501
KM821839,MH887909,MK118006,LC387486
KM821874,KM822061,MK118038,MH053572
KM821856,MK117943,MK117982,GU481068
KM821837,MH887965,MH053562,KJ944261
KM821781,MH053525,MK107942,MH053584
KM821802,MH887951,MK107960,MK117975
KM821812,MH887899,MK118032,LC388585
KM821841,MK117845,MK107952,MK118019
KM821850,MK117844,KM821977,MK117994
KM821779,MH887970,KM821976,MH887834
MK117982,MH888007,KM821974,MK117993
KM822086,MK117882,MK107969,LC387488
KM822107,MK117935,MK107958,LC387482
KM822000,KM822009,MK107959,MK117996
KM821990,MH887925,MK107901,MH887799
MK117859,MH887971,MH887880,MH157039
MK107962,MH053587,MG812681,MK107923
KM822069,MK117880,AF181854,KM821979
KM822045,MK117834,AF182219,MK107961
MK118000,MK117922,AF182220,MK107970
KM821941,KM821942,MH887846,MK118018
KM822072,MH887898,MK107913,MK117980
MK107907,MH887900,MK117979,MK117995
KM822074,KM822040,MK117977,MH887828
MK107908,MH887921,MH887771,MH887820
KM821935,MH887977,MK117847,LC387474
KM821971,KM821870,MH053491,LC387484
KM822091,MK107869,MK117968,LC387480
KM821982,GU481069,MH887765,MH053527
KM821951,GU481077,MK107955,MK107902
KM822041,MH887923,MH157041,MK107903
MK107901,KM822034,MH887852,MK107904
KM821976,KF478762,KM821982,MK107905
KM821931,MK107873,MH887842,MK107906
