accession_lassa,name_nuc_seq,host,year,location,country,region,lon,lat
7ELA_C,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
AF181853.1,LP,NA,NA,,NA,NA,NA,NA
AF181854.1,803213,NA,NA,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
AF182219.1,las803213,Human,NA,"Onitsha, Nigeria",Nigeria,Onitsha,6.7923994,6.1329419
AF182220.1,las803214,Human,NA,"Onitsha, Nigeria",Nigeria,Onitsha,6.7923994,6.1329419
AF182221.1,las806316,Human,NA,"Ekpoma, Nigeria",Nigeria,Ekpoma,6.142094699999999,6.7429546
AF182222.1,las808031,Human,NA,"Ekpoma, Nigeria",Nigeria,Ekpoma,6.142094699999999,6.7429546
AF182223.1,las806320,Human,NA,"Aba, Nigeria",Nigeria,Aba,7.3732655,5.1215877
AF182224.1,las806319,Human,NA,"Aba, Nigeria",Nigeria,Aba,7.3732655,5.1215877
AF182225.1,las806321,Human,NA,"Owerri, Nigeria",Nigeria,Owerri,7.0390904,5.5096455
AF182226.1,las806322,Human,NA,"Owerri, Nigeria",Nigeria,Owerri,7.0390904,5.5096455
AF182227.1,las803787,Human,NA,Nigeria,Nigeria,NA,8.675277,9.081999
AF182228.1,las806791,Human,NA,"Jos, Nigeria",Nigeria,Jos,8.8583309,9.896527299999999
AF182229.1,las803210,Human,NA,"Vom, Nigeria",Nigeria,Vom,8.7935611,9.731089800000001
AF182230.1,las803212,Human,NA,"Vom, Nigeria",Nigeria,Vom,8.7935611,9.731089800000001
AF182231.1,las807975,Human,NA,"Vom, Nigeria",Nigeria,Vom,8.7935611,9.731089800000001
AF182232.1,las803208,Human,NA,"Zonkwa, Nigeria",Nigeria,Zonkwa,8.2842112,9.7866816
AF182233.1,las802662,Human,NA,"Niahun, Sierra Leone",Sierra Leone,Niahun,-11.330645,8.166243999999999
AF182234.1,las801618,Human,NA,"Konia, Sierra Leone",Sierra Leone,Konia,-10.95,8.266667
AF182235.1,las803205,Human,NA,"Segbwema, Sierra Leone",Sierra Leone,Segbwema,-10.9524441,7.9929954
AF182236.1,las803209,Human,NA,"Segbwema, Sierra Leone",Sierra Leone,Segbwema,-10.9524441,7.9929954
AF182237.1,las9607290,Human,NA,"Segbwema, Sierra Leone",Sierra Leone,Segbwema,-10.9524441,7.9929954
AF182238.1,las806827,Human,NA,"Gondama, Sierra Leone",Sierra Leone,Gondama,-10.761695,8.626021999999999
AF182239.1,las801105,Rodent,NA,"Konia, Sierra Leone",Sierra Leone,Konia,-10.95,8.266667
AF182240.1,las801107,Rodent,NA,"Konia, Sierra Leone",Sierra Leone,Konia,-10.95,8.266667
AF182241.1,las801104,Rodent,NA,"Konia, Sierra Leone",Sierra Leone,Konia,-10.95,8.266667
AF182242.1,las801106,Rodent,NA,"Konia, Sierra Leone",Sierra Leone,Konia,-10.95,8.266667
AF182243.1,las801109,Rodent,NA,"Konia, Sierra Leone",Sierra Leone,Konia,-10.95,8.266667
AF182244.1,las801108,Rodent,NA,"Konia, Sierra Leone",Sierra Leone,Konia,-10.95,8.266667
AF182245.1,las807875,Rodent,NA,Sierra Leone,Sierra Leone,NA,-11.779889,8.460555
AF182246.1,las807976,Human,NA,"Tongo, Sierra Leone",Sierra Leone,Tongo,-11.0591546,8.660487999999999
AF182247.1,las803211,Human,NA,"Panguma, Sierra Leone",Sierra Leone,Panguma,-11.757627,8.025278
AF182248.1,las801101,Rodent,NA,"Tongo, Sierra Leone",Sierra Leone,Tongo,-11.0591546,8.660487999999999
AF182249.1,las801103,Rodent,NA,"Tongo, Sierra Leone",Sierra Leone,Tongo,-11.0591546,8.660487999999999
AF182250.1,las803206,Human,NA,"Panguma, Sierra Leone",Sierra Leone,Panguma,-11.757627,8.025278
AF182251.1,las801102,Rodent,NA,"Tongo, Sierra Leone",Sierra Leone,Tongo,-11.0591546,8.660487999999999
AF182252.1,las9607300,Human,NA,"Tongo, Sierra Leone",Sierra Leone,Tongo,-11.0591546,8.660487999999999
AF182253.1,las801100,Rodent,NA,"Tongo, Sierra Leone",Sierra Leone,Tongo,-11.0591546,8.660487999999999
AF182254.1,las806843,Human,NA,"Tongo, Sierra Leone",Sierra Leone,Tongo,-11.0591546,8.660487999999999
AF182255.1,las9607302,Human,NA,"Tongo, Sierra Leone",Sierra Leone,Tongo,-11.0591546,8.660487999999999
AF182256.1,las803972,Human,NA,"Mano, Sierra Leone",Sierra Leone,Mano,-11.567483,8.276271999999999
AF182257.1,las807974,Human,NA,"Mobai, Sierra Leone",Sierra Leone,Mobai,-11.983333,8.299999999999999
AF182258.1,las803204,Human,NA,"Zorzor, Liberia",Liberia,Zorzor,-9.4256031,7.775242100000001
AF182259.1,las803201,Human,NA,"Zorzor, Liberia",Liberia,Zorzor,-9.4256031,7.775242100000001
AF182260.1,las803792,Human,NA,"Zorzor, Liberia",Liberia,Zorzor,-9.4256031,7.775242100000001
AF182261.1,las806828,Human,NA,"Macenta, Guinea",Guinea,Macenta,-9.4728244,8.538294
AF182262.1,las803791,Human,NA,"Zorzor, Liberia",Liberia,Zorzor,-9.4256031,7.775242100000001
AF182263.1,las803793,Human,NA,"Zorzor, Liberia",Liberia,Zorzor,-9.4256031,7.775242100000001
AF182264.1,las806829,Human,NA,"Zorzor, Liberia",Liberia,Zorzor,-9.4256031,7.775242100000001
AF182265.1,las807998,Human,NA,"Nzerekore, Guinea",Guinea,Nzerekore,-8.8252502,7.747835899999999
AF182266.1,las803203,Human,NA,"Zorzor, Liberia",Liberia,Zorzor,-9.4256031,7.775242100000001
AF182267.1,las807992,Human,NA,"Kissedougou, Guinea",Guinea,Kissedougou,-10.1143176,9.1914538
AF182268.1,las807977,Human,NA,"Zorzor, Liberia",Liberia,Zorzor,-9.4256031,7.775242100000001
AF182269.1,las807868,Human,NA,"Faranah, Guinea",Guinea,Faranah,-10.8000051,10.2587018
AF182270.1,las808255,Rodent,NA,"Faranah, Guinea",Guinea,Faranah,-10.8000051,10.2587018
AF182272.1,las9608911,Human,NA,"Jos, Nigeria",Nigeria,Jos,8.8583309,9.896527299999999
AF246121.2,AV,NA,NA,,NA,NA,NA,NA
AF333969.1,CSF,NA,NA,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
AH012598.2,CSF,NA,NA,,NA,NA,NA,NA
AJ310764.1,Lassa mammarenavirus,NA,NA,Sierra Leone,Sierra Leone,NA,-11.779889,8.460555
AJ969404.1,Lassa mammarenavirus,Mastomys sp.,NA,Sierra Leone,Sierra Leone,NA,-11.779889,8.460555
AJ969405.1,Lassa mammarenavirus,Homo sapiens,NA,Nigeria,Nigeria,NA,8.675277,9.081999
AJ969406.1,Lassa mammarenavirus,Mastomys sp,NA,Liberia,Liberia,NA,-9.429499000000002,6.428055
AJ969407.1,Lassa mammarenavirus,Homo sapiens,NA,Nigeria,Nigeria,NA,8.675277,9.081999
AJ969408.1,Lassa mammarenavirus,Homo sapiens,NA,Nigeria,Nigeria,NA,8.675277,9.081999
AJ969409.1,Lassa mammarenavirus,Homo sapiens,NA,Nigeria,Nigeria,NA,8.675277,9.081999
AY179171.1,AV,NA,NA,,NA,NA,NA,NA
AY179172.1,NL,Homo sapiens,NA,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
AY179173.1,NL,Homo sapiens,NA,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
AY216508.1,Josiah,NA,NA,,NA,NA,NA,NA
AY363905.1,SL620,Homo sapiens,NA,Sierra Leone,Sierra Leone,NA,-11.779889,8.460555
AY363906.1,SL15,Homo sapiens,NA,Sierra Leone,Sierra Leone,NA,-11.779889,8.460555
AY363907.1,SL20,Homo sapiens,NA,Sierra Leone,Sierra Leone,NA,-11.779889,8.460555
AY363908.1,SL21,Homo sapiens,NA,Sierra Leone,Sierra Leone,NA,-11.779889,8.460555
AY363909.1,SL25,Homo sapiens,NA,Sierra Leone,Sierra Leone,NA,-11.779889,8.460555
AY363910.1,SL26,Homo sapiens,NA,Sierra Leone,Sierra Leone,NA,-11.779889,8.460555
AY628200.1,Macenta,NA,NA,,NA,NA,NA,NA
AY628201.1,Macenta,NA,NA,,NA,NA,NA,NA
AY628202.1,Josiah,NA,NA,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
AY628203.1,Josiah,NA,NA,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
AY628204.1,Z148,NA,NA,,NA,NA,NA,NA
AY628205.1,Z148,NA,NA,,NA,NA,NA,NA
AY628206.1,Weller,NA,NA,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
AY628207.1,Pinneo,NA,NA,,NA,NA,NA,NA
AY628208.1,Acar 3080,NA,NA,,NA,NA,NA,NA
AY693637.1,Nig04-010,Homo sapiens,NA,Nigeria,Nigeria,NA,8.675277,9.081999
AY693638.1,las803792,Homo sapiens,NA,Liberia,Liberia,NA,-9.429499000000002,6.428055
AY693639.1,las806791,Homo sapiens,NA,Nigeria,Nigeria,NA,8.675277,9.081999
AY693640.1,las803213,Homo sapiens,NA,Nigeria,Nigeria,NA,8.675277,9.081999
AY870334.1,Lib04-2739,Homo sapiens,NA,Liberia,Liberia,NA,-9.429499000000002,6.428055
CS272332.1,Lassa virus Josiah,NA,NA,,NA,NA,NA,NA
CS805355.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
DI160217.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
DL138934.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
DL138935.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
DL143807.1,Lassa mammarenavirus,NA,NA,,NA,NA,NA,NA
DQ010030.1,Nig04-02,Homo sapiens,NA,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
DQ010031.1,Nig04-010,Homo sapiens,NA,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
DQ832667.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832668.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832669.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832670.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832671.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832672.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832673.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832674.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832675.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
DQ832676.1,Lassa mammarenavirus,Mastomys natalensis,NA,Guinea,Guinea,NA,-9.696645,9.945587
