L_accession,S_accession
MK107845,MT193288
MK107844,MT861994
MK117869,MT193283
MK117832,MW039391
MK107864,MT193284
KF478760,MT193286
MF990886,MT193285
MF990887,MT193277
KU961972,MT193281
KF478761,MT193278
MK107863,MT193280
KM821985,MT193279
MK117909,MT193282
MK117903,MK117978
MK117931,MK118023
MK117911,MH887812
MK117901,MW039390
KM821978,MK281624
MK107847,MH887814
MK107848,MK281625
MK107850,MH887862
MK107849,MH887850
MK107851,MK117953
MK107893,MH157052
KM822073,MH887859
KM822036,MK117969
MK107852,MK117954
MK107853,MK117957
MK117910,MK117988
KM821911,MK117965
KM821923,KF478766
KM821919,KF478769
KM822011,MK107923
KM822017,MK107940
MH887994,MK107939
KM821997,MK107912
MK291253,MK117992
KM822068,MK107919
MK117881,KF478768
MK107894,MG812653
MK107862,MK107898
MK117897,MK117952
MH887991,MK107911
MK117912,KF478765
MH888008,MK107897
MH887913,MK107916
MK117894,KF478767
MH887972,MK107920
MH887952,MK107899
MK117921,KM822124
MK117917,MK107918
MH887953,KM822055
MH887918,MG812663
MH887997,KM821798
MH887917,KM822029
MH053563,KM822031
MH887978,KM822027
MH053508,MK107941
KM822070,KT992416
MH887905,KT992420
MH053535,KT992418
MK117885,KT992421
MH888006,KM821773
KM822005,MG812648
MK117891,KM821775
MK117835,KM821816
MH157049,KM821822
MH887968,KM822130
MH887975,KM821835
MH887976,KM821847
MH887909,KM821857
KM822061,MG812636
MK117943,MG812667
MH887965,KM821826
MH053525,JN650517
MH887951,KM821787
MH887899,KM821785
MK117845,KM821789
MK117844,KM821863
MH887970,KM821777
MH888007,KM821810
MK117882,MG812639
MK117935,KM821828
KM822009,MH215285
MH887925,MH215283
MH887971,MH215289
MH053587,KM821900
MK117880,MG812643
MK117834,MN275173
MK117922,KM821783
KM821942,MG812645
MH887898,MH215287
MH887900,MH215279
KM822040,MG812632
MH887921,MG812673
MH887977,KM821902
KM821870,MG812631
MK107869,KM821818
GU481069,KM821796
GU481077,KM821800
MH887923,KM821882
KM822034,KM821839
KF478762,KM821874
MK107873,KM821856
MK107892,KM821837
MK107890,KM821781
KM821817,KM821802
KM822026,KM821812
KM822044,KM821841
MK107867,KM821850
MG812676,KM821779
KM821944,MK117982
MK117896,KM822086
MK117876,KM822107
MK117833,KM822000
MK107857,KM821990
MK117879,MK117859
MK107870,MK107962
MK117942,KM822069
MK117898,KM822045
MK117936,MK118000
KM821858,KM821941
KM821883,KM822072
KY425634,MK107907
KM821898,KM822074
KM822131,MK107908
MG812633,KM821935
KM821849,KM821971
KM821851,KM822091
KM821784,KM821982
KM821780,KM821951
MN275172,KM822041
KM821838,MK107901
KM821778,KM821976
KM821873,KM821931
KM822129,MG812675
KM821809,KM822128
KM821782,KM822025
KM821840,KM822047
MG812642,KM822033
KM822054,KM822035
KM822024,MK107956
KM821855,KM821945
MG812644,MK107964
MH215286,KM821953
MK117929,KM821824
GU481079,KM822132
GU481075,KU978810
MK107895,MG812683
MH887928,KM821861
KM822100,KM822115
MH887936,KM821814
KM821952,MG812665
KM821864,KM822120
KM821908,KM821792
KM821888,MG812679
KM821825,MG812655
KM821799,KM821894
KM822032,KM821820
MH215282,KM821996
KM821795,MG812635
KM822028,MK107905
MH157036,MK107926
KM821991,MK118018
MH887914,MK107961
MK117887,MK107903
MH887932,KM821979
MH887948,MK107902
MH887911,MK107904
KM822015,MK107970
MK117934,MK117975
KM822098,MK107906
MK107858,KM822022
MG812666,KM821937
KM821819,KM821955
KY425651,KM821914
KM821811,KM821918
KM821791,KM821912
KM821834,KM821916
KM821836,KM821922
KM822123,KM821959
MH887904,KM821943
MK117873,KM821961
MK117916,KM822057
KM822046,MK107943
MK117839,MK107944
KY425632,KM822049
KY425640,MK117854
KM821901,MK107937
KM821862,MK117968
MH215284,MK118007
KM821842,KM821927
MK117826,MK117963
MK117902,KM822053
MG812662,KM822051
MH215278,MG812641
MH887910,KM821957
KM822119,KM821984
MH887995,KM822118
KM822081,KM821808
MH053494,KM821794
MH887983,KM821833
MH887963,MG812647
MH053546,KM822082
KM821995,KU978811
MK117918,MK117960
KM822104,KM821933
KM821999,KM821947
KM821989,MK107936
KM821954,KM822039
KM821932,MK107922
KM821950,MK107928
KU978812,KM821806
MK107868,KM821859
KM822048,MK107965
KM821946,KM822105
KM822038,KM821804
KM821956,KM821865
KM821958,MH053578
KM821938,KM821998
MK107888,MH053493
KM821970,MH053526
KM821983,MH053573
KM821936,MH887842
KM821930,MH887797
MK107882,MH887854
MK107889,MK291250
KM821875,MH053562
KM821846,MK107950
KM821801,MK107915
MG812672,MK107913
KM821860,KM822088
KM821827,KM822002
KM821788,MK107957
KM821776,MK107938
KM821981,MK118016
KM822030,MK118009
MK117886,MK117991
KM822050,MK117999
KM821786,MK117987
MK117914,MK117983
MK107891,MK117858
KM821966,MK107909
KM822125,KM822037
MG812664,KM821963
MK107887,KM821815
KM821973,KM821899
MG812678,MH887765
KM821797,MH053536
MG812634,MH053564
MK117877,MK118027
MK117945,MK118028
MK117941,MK117863
MH887908,KM821949
MK117899,KM821845
MK117928,MG812685
MK117915,MG812661
MK117907,MG812670
KM822001,KM822111
MK107854,KM822122
MG812680,KM822113
KM821940,MG812650
KM821915,KM821897
KM821913,MK118022
KM821928,KM822099
MK107881,KM821884
KM822021,KY425650
KM821960,KY425643
KM822056,KY425638
MK117920,KM821889
MK117890,MH053514
KM821921,MH053513
MK117940,MH053511
KM821934,MH053586
MK117939,MK117857
KM821962,MH053498
KM821948,MK117847
MK117843,MH053491
KM822042,MH887755
KM821831,MH887780
KM821805,MH887826
KM821823,KM822062
KM821803,KM822018
MG812659,MK117962
MG812630,KM821977
